node_id title year month day
61958CJ0024 "Chambre syndicale de la sidérurgie de l'est de la France and others v High Authority of the European Coal and Steel Community" 1960 7 15
61959CJ0020 "Government of the Italian Republic v High Authority of the European Coal and Steel Community" 1960 7 15
61959CJ0036 "Präsident Ruhrkolen-Verkaufsgesellschaft mbH, Geitling Ruhrkohlen-Verkaufsgesellschaft mbH, Mausegatt Ruhrkohlen-Verkaufsgesellschaft mbH and I. Nold KG v High Authority of the European Coal and Steel Community" 1960 7 15
61959CJ0043 "Eva von Lachmüller, Bernard Peuvrier, Roger Ehrhardt v Commission of the European Economic Community" 1960 7 15
61959CJ0027 "Alberto Campolongo v High Authority of the European Coal and Steel Community" 1960 7 15
61959CJ0025 "Kingdom of the Netherlands v High Authority of the European Coal and Steel Community" 1960 7 15
61960CJ0006 "Jean-E. Humblet v Belgian State" 1960 12 16
61959CJ0041 "Hamborner Bergbau AG, Friedrich Thyssen Bergbau AG v High Authority of the European Coal and Steel Community" 1960 12 16
61959CJ0044 "Rudolf Pieter Marie Fiddelaar v Commission of the European Economic Community" 1960 12 16
61959CJ0030 "De Gezamenlijke Steenkolenmijnen in Limburg v High Authority of the European Coal and Steel Community" 1961 2 23
61959CJ0042 "Société nouvelle des usines de Pontlieue - Aciéries du Temple (S.N.U.P.A.T.) v High Authority of the European Coal and Steel Community" 1961 3 22
61960CJ0005 "Meroni & Co., Acciaieria Ferriera di Roma (FERAM), Società Industriale Metallurgica di Napoli (SIMET) v High Authority of the European Coal and Steel Community" 1961 6 1
61960CJ0015 "Gabriel Simon v Court of Justice of the European Communities" 1961 6 1
61960CJ0002 "Niederrheinische Bergwerks - Aktiengesellschaft and Unternehmensverband des Aachener Steinkohlenbergbaues v High Authority of the European Coal and Steel Community" 1961 7 13
61960CJ0022 "Raymond Elz v High Authority of the European Coal and Steel Community" 1961 7 13
61960CJ0014 "Meroni & Co. and others v High Authority of the European Coal and Steel Community" 1961 7 13
61960CJ0009 "Société commerciale Antoine Vloeberghs SA v High Authority of the European Coal and Steel Community" 1961 7 14
61961CJ0012 "Wilhelmus Severinus Antonie Nannes Gorter v Councils of the European Economic Community and of the European Atomic Energy Community" 1961 12 14
