source_id target_id year month day
2178/64 1936/63 1969 11 10
2178/64 2122/64 1969 11 10
2178/64 1602/62 1969 11 10
2178/64 332/57 1969 11 10
1602/62 1936/63 1969 11 10
1602/62 2122/64 1969 11 10
1602/62 332/57 1969 11 10
2689/65 2178/64 1970 1 17
2689/65 1474/62 1970 1 17
2689/65 2122/64 1970 1 17
2689/65 1936/63 1970 1 17
2832/66 1474/62 1970 11 18
2832/66 214/56 1970 11 18
2832/66 1602/62 1970 11 18
2832/66 2178/64 1970 11 18
2832/66 332/57 1970 11 18
2832/66 1936/63 1970 11 18
2614/65 1936/63 1971 7 16
2614/65 2122/64 1971 7 16
2614/65 332/57 1971 7 16
2614/65 2832/66 1971 7 16
1936/63 332/57 1974 5 7
1936/63 2614/65 1974 5 7
1936/63 2832/66 1974 5 7
4451/70 1474/62 1975 2 21
4451/70 214/56 1975 2 21
4451/70 2178/64 1975 2 21
4451/70 332/57 1975 2 21
4451/70 1936/63 1975 2 21
4451/70 2689/65 1975 2 21
4451/70 2614/65 1975 2 21
4451/70 2122/64 1975 2 21
4451/70 2832/66 1975 2 21
4464/70 1474/62 1975 10 27
4464/70 4451/70 1975 10 27
5589/72 1474/62 1976 2 6
5589/72 4464/70 1976 2 6
5614/72 1474/62 1976 2 6
5614/72 2832/66 1976 2 6
5614/72 4464/70 1976 2 6
5100/71 1474/62 1976 11 23
5100/71 214/56 1976 11 23
5100/71 1602/62 1976 11 23
5100/71 4451/70 1976 11 23
5100/71 1936/63 1976 11 23
5100/71 2614/65 1976 11 23
5100/71 2832/66 1976 11 23
5493/72 1474/62 1976 12 7
5493/72 1602/62 1976 12 7
5493/72 4451/70 1976 12 7
5493/72 2178/64 1976 12 7
5493/72 5100/71 1976 12 7
5493/72 1936/63 1976 12 7
5493/72 2614/65 1976 12 7
5493/72 2122/64 1976 12 7
5493/72 2832/66 1976 12 7
5095/71 1474/62 1976 12 7
5095/71 214/56 1976 12 7
5310/71 1474/62 1978 1 18
5310/71 1602/62 1978 1 18
5310/71 4451/70 1978 1 18
5310/71 2178/64 1978 1 18
5310/71 1936/63 1978 1 18
5310/71 332/57 1978 1 18
5310/71 5100/71 1978 1 18
5310/71 5493/72 1978 1 18
5310/71 2689/65 1978 1 18
5310/71 5095/71 1978 1 18
5310/71 5614/72 1978 1 18
5310/71 5589/72 1978 1 18
5310/71 2614/65 1978 1 18
5310/71 2832/66 1978 1 18
5856/72 214/56 1978 4 25
5856/72 5310/71 1978 4 25
5856/72 5095/71 1978 4 25
5029/71 1474/62 1978 9 6
5029/71 5310/71 1978 9 6
5029/71 4451/70 1978 9 6
5029/71 5100/71 1978 9 6
5029/71 5493/72 1978 9 6
5029/71 5095/71 1978 9 6
5029/71 5614/72 1978 9 6
6833/74 1474/62 1979 6 13
6833/74 214/56 1979 6 13
6833/74 5856/72 1979 6 13
6833/74 4451/70 1979 6 13
6833/74 5029/71 1979 6 13
6833/74 5100/71 1979 6 13
6833/74 4464/70 1979 6 13
6833/74 2832/66 1979 6 13
7710/76 5310/71 1979 12 4
7710/76 6833/74 1979 12 4
7710/76 1936/63 1979 12 4
7710/76 6301/73 1979 12 4
7710/76 332/57 1979 12 4
7710/76 5493/72 1979 12 4
7710/76 2689/65 1979 12 4
7710/76 2122/64 1979 12 4
7710/76 2832/66 1979 12 4
6903/75 214/56 1980 2 27
6903/75 1602/62 1980 2 27
6903/75 4451/70 1980 2 27
6903/75 6210/73 1980 2 27
6903/75 6289/73 1980 2 27
6903/75 5100/71 1980 2 27
6903/75 1936/63 1980 2 27
6903/75 6232/73 1980 2 27
6903/75 2689/65 1980 2 27
6903/75 5095/71 1980 2 27
6903/75 2832/66 1980 2 27
6903/75 2122/64 1980 2 27
6903/75 2614/65 1980 2 27
6903/75 5310/71 1980 2 27
6232/73 1474/62 1980 3 10
6232/73 5310/71 1980 3 10
6232/73 4451/70 1980 3 10
6232/73 1936/63 1980 3 10
6232/73 5100/71 1980 3 10
6232/73 5493/72 1980 3 10
6232/73 2689/65 1980 3 10
6232/73 2614/65 1980 3 10
6232/73 2122/64 1980 3 10
6232/73 2832/66 1980 3 10
6694/74 5310/71 1980 5 13
6694/74 6833/74 1980 5 13
6694/74 6210/73 1980 5 13
6694/74 6903/75 1980 5 13
6694/74 332/57 1980 5 13
6694/74 5100/71 1980 5 13
6694/74 6289/73 1980 5 13
6694/74 1936/63 1980 5 13
6694/74 6232/73 1980 5 13
6694/74 2689/65 1980 5 13
6694/74 7710/76 1980 5 13
6694/74 2614/65 1980 5 13
6694/74 2832/66 1980 5 13
7367/76 214/56 1980 11 6
7367/76 5856/72 1980 11 6
7367/76 4451/70 1980 11 6
7367/76 2178/64 1980 11 6
7367/76 6210/73 1980 11 6
7367/76 6903/75 1980 11 6
7367/76 332/57 1980 11 6
7367/76 5100/71 1980 11 6
7367/76 6289/73 1980 11 6
7367/76 6301/73 1980 11 6
7367/76 6232/73 1980 11 6
7367/76 6694/74 1980 11 6
7367/76 7710/76 1980 11 6
7367/76 2614/65 1980 11 6
7367/76 2832/66 1980 11 6
7367/76 5310/71 1980 11 6
7367/76 1602/62 1980 11 6
7654/76 1602/62 1980 11 6
7654/76 6903/75 1980 11 6
7654/76 6289/73 1980 11 6
7654/76 4464/70 1980 11 6
7654/76 6694/74 1980 11 6
7654/76 2614/65 1980 11 6
7654/76 2832/66 1980 11 6
6538/74 1474/62 1980 11 6
6538/74 2122/64 1980 11 6
6538/74 1602/62 1980 11 6
6538/74 4451/70 1980 11 6
6538/74 6833/74 1980 11 6
6538/74 1936/63 1980 11 6
6538/74 6210/73 1980 11 6
