node_id title year month day
10256/83 "CASE OF BAGGETTA v ITALY" 1987 6 25
9381/81 "CASE OF CAPUANO v ITALY" 1987 6 25
10527/83 "CASE OF MILASI v ITALY" 1987 6 25
10092/82 "CASE OF BARAONA v PORTUGAL" 1987 7 8
8562/79 "CASE OF FELDBRUGGE v THE NETHE" 1987 7 27
10282/83 "CASE OF ENGLERT v GERMANY" 1987 8 25
10300/83 "CASE OF NLKENBOCKHOFF v GERMAN" 1987 8 25
9912/82 "CASE OF LUTZ v GERMANY" 1987 8 25
9063/80 "CASE OF GILLOW v THE UNITED KI" 1987 9 14
9186/80 "CASE OF DE CUBBER v BELGIUM AR" 1987 9 14
9616/81 "CASE OF ERKNER AND HOFAUER v A" 1987 9 29
9816/82 "CASE OF POISS v AUSTRIA ARTICL" 1987 9 29
10930/84 "CASE OF BODN v SWEDEN" 1987 10 27
10426/83 "CASE OF PUDAS v SWEDEN" 1987 10 27
8695/79 "CASE OF INZE v AUSTRIA" 1987 10 28
9976/82 "CASE OF BEN YAACOUB v BELGIUM" 1987 11 27
8950/80 "CASE OF H v BELGIUM" 1987 11 30
9990/82 "CASE OF BOZANO v FRANCE ARTICL" 1987 12 2
11329/85 "CASE OF F v SWITZERLAND" 1987 12 18
10465/83 "CASE OF OLSSON v SWEDEN No 1" 1988 3 24
9659/82 "CASE OF BOYLE AND RICE v THE U" 1988 4 27
10328/83 "CASE OF BELILOS v SWITZERLAND" 1988 4 29
10737/84 "CASE OF MLLER AND OTHERS v SWI" 1988 5 24
10208/82 "CASE OF PAUWELS v BELGIUM" 1988 5 26
10563/83 "CASE OF EKBATANI v SWEDEN" 1988 5 26
9276/81 "CASE OF O v THE UNITED KINGDOM" 1988 6 9
10496/83 "CASE OF R v THE UNITED KINGDOM" 1988 6 9
9840/82 "CASE OF B v THE UNITED KINGDOM" 1988 6 9
9580/81 "CASE OF H v THE UNITED KINGDOM" 1988 6 9
9749/82 "CASE OF W v THE UNITED KINGDOM" 1988 6 9
11368/85 "CASE OF SCHNENBERGER AND DURMA" 1988 6 20
10730/84 "CASE OF BERREHAB v THE NETHERL" 1988 6 21
10126/82 "CASE OF PLATTFORM RZTE FR DAS" 1988 6 21
9106/80 "CASE OF BOUAMAR v BELGIUM ARTI" 1988 6 27
10862/84 "CASE OF SCHENK v SWITZERLAND" 1988 7 12
9787/82 "CASE OF WEEKS v THE UNITED KIN" 1988 10 5
10519/83 "CASE OF SALABIAKU v FRANCE" 1988 10 7
10868/84 "CASE OF WOUKAM MOUDEFO v FRANC" 1988 10 11
10581/83 "CASE OF NORRIS v IRELAND" 1988 10 26
11371/85 "CASE OF MARTINS MOREIRA v PORT" 1988 10 26
10929/84 "CASE OF NIELSEN v DENMARK" 1988 11 28
9999/82 "CASE OF COLAK v GERMANY" 1988 12 6
10590/83 "CASE OF BARBER MESSEGU AND JAB" 1988 12 6
11152/84 "CASE OF CIULLA v ITALY" 1989 2 22
11508/85 "CASE OF BARFOD v DENMARK" 1989 2 22
11118/84 "CASE OF BOCK v GERMANY" 1989 3 29
10444/83 "CASE OF LAMY v BELGIUM" 1989 3 30
10461/83 "CASE OF CHAPPELL v THE UNITED" 1989 3 30
11213/84 "CASE OF NEVES E SILVA v PORTUG" 1989 4 27
10486/83 "CASE OF HAUSCHILDT v DENMARK" 1989 5 24
11612/85 "CASE OF OLIVEIRA NEVES v PORTU" 1989 5 25
11209/84 "CASE OF BROGAN AND OTHERS v TH" 1989 5 30
11373/85 "CASE OF ERIKSSON v SWEDEN" 1989 6 22
11179/84 "CASE OF LANGBORGER v SWEDEN" 1989 6 22
10873/84 "CASE OF TRE TRAKTRER AKTIEBOLA" 1989 7 7
11681/85 "CASE OF UNIN ALIMENTARIA SANDE" 1989 7 7
10857/84 "CASE OF BRICMONT v BELGIUM" 1989 7 7
14038/88 "CASE OF SOERING v THE UNITED K" 1989 7 7
10454/83 "CASE OF GASKIN v THE UNITED KI" 1989 7 7
10073/82 "CASE OF H v FRANCE" 1989 10 24
10842/84 "CASE OF ALLAN JACOBSSON v SWED" 1989 10 25
11400/85 "CASE OF BEZICHERI v ITALY" 1989 10 25
10572/83 "CASE OF MARKT INTERN VERLAG GM" 1989 11 20
